smiles,pLogS
[H]/N=C(\N)Nc1ccc(CC(NC(=O)OC)P(=O)(Oc2ccc(NC(C)=O)cc2)Oc2ccc(NC(C)=O)cc2)cc1,3.69897000433602
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(N)=O,5.52287874528034
CNC(=O)[C@@H](C)Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12,5.39794000867204
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,5.52287874528034
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,3.99567862621736
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C,4.53760200210104
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C,4.35654732351381
C[C@H](Nc1ncc(Br)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,5.52287874528034
CCc1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1,5.60205999132796
COc1ccc2c(c1)CCN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,5.60205999132796
COCCOc1ccc2c(c1)CCN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,5.60205999132796
Nc1nc2c(cnn2CCc2ccc(-c3cccnc3)cc2)c2nc(-c3ccco3)nn12,5.39794000867204
Nc1nc2c(cnn2CCc2ccc(-c3cnccn3)cc2)c2nc(-c3ccco3)nn12,5.39794000867204
COc1ccc(-c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)cc1,5.30102999566398
Nc1nc2c(cnn2CCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)c2nc(-c3ccco3)nn12,5.30102999566398
COc1ccc(-c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)cn1,5.30102999566398
Cc1ccc(-c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)cn1,5.30102999566398
Nc1nc2c(cnn2CCN2CCc3ccc([N+](=O)[O-])cc3CC2)c2nc(-c3ccco3)nn12,5.30102999566398
N#Cc1cc(F)cc(-n2nnc(-c3ccc(Br)cn3)n2)c1,6.69897000433602
OC[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,5.76955107862173
COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O,5.76955107862173
OCCNc1nc(NCc2ccc(F)cc2)nc(Nc2cc(C3CC3)[nH]n2)c1Cl,5.69897000433602
