smiles,pLogS
COCc1cc(-c2nnc3c4ccccc4c(OCc4ccc(C(=O)NC5(C#N)CC5)cn4)nn23)no1,11.6705937061019
Clc1cccc2c(-c3nsc(CN4CCCC4)n3)cn(CC3CCCCC3)c12,11.6180428642169
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,10.0886587048959
Cc1cc(C(=O)Nc2cc(Cl)c(Cl)cc2Cl)c(C)n1-c1ccccc1C(F)(F)F,3.30102999566398
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1c(Cl)ccc(OCCNCCCF)c1Cl)C(=O)O,3.01188715973165
COc1cccc([C@@H](C)NC(=O)c2ccc3c(c2)/C(=C(/Nc2cccc(CN4CCCCC4)c2)c2ccccc2)C(=O)N3)c1,5.0
O=S(=O)(c1ccc(-c2ccc3nccc(NC4CCOCC4)c3c2)cc1)N1CCOCC1,5.15490195998574
CN1CCC(Nc2ccnc3ccc(-c4ccc(S(=O)(=O)N5CCOCC5)cc4)cc23)CC1,3.10237290870956
CCOC(=O)c1c(-c2ccccc2Cl)[nH]c2cc(OC)ccc2c1=O,4.55284196865778
CC[C@@H](NC(=O)N1C(=O)[C@H](Cc2cc(C)nc(N)c2)[C@H]1C(=O)N(C)c1nccn1C)c1cccc(Cl)c1,4.0
COc1ccc(/C=C/C(=O)NCCc2c(C)[nH]c3ccccc23)cc1OC,4.38721614328026
CC(C)c1ccc2c(=O)c3cc(C(=O)O)c(N)nc3oc2c1,4.71896663275227
CCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc2c(c1)CN(C(=O)OCC)C2,4.23657200643706
Cc1cc(C(=O)Nc2ccc(Cl)cc2Cl)c(C)n1-c1ccccc1C(F)(F)F,3.30102999566398
O=C(Nc1cc2cccnc2cc1N1CCC(CO)CC1)c1cnn2cccnc12,6.0
CCCN1CCC(N(Cc2ccc3c(c2)OCO3)C(=O)Nc2cccc(C(F)(F)F)c2)CC1,4.18045606445813
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,3.21001679051746
CC1(C)Cc2cc(NC(=O)c3cnn4cc(OC(F)F)cnc34)c(N3CCOCC3)cc2O1,6.0
CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)NO)cc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,12.3191810389334
CC(C)[C@H](NC(=O)N(C)Cc1nc2ccccc2[nH]1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1nc2ccccc2[nH]1)C(C)C,10.6857683028818
COc1nc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C1CC1)C2,5.45593195564972
COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4)oc3C)cc2)nc1,10.2027761165991
COc1cccc(C(=O)NN(C(=O)c2ccc3c(c2)N=C(C)OB3O)C(C)(C)C)c1C,8.05176473366761
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)NC(=O)c2csc1n2,3.87614835903291
CCNC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,5.0
Cc1cc(Cl)cc(C)c1NC(=O)c1cc(C)n(-c2ccccc2C(F)(F)F)c1C,3.30102999566398
C[C@@H](CN1[C@H](C(F)F)Cc2c([nH]c3ccccc23)[C@H]1c1c(F)ccc(OCCNCCCF)c1Cl)C(=O)O,3.00217691925427
C=C(c1ccnc(N(C)C)c1)c1cc(OC)c(OC)c(OC)c1,9.36391448166549
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(C#N)cc1,5.52287874528034
CCCn1c2c(c(C)cc1=O)C(=O)c1c(C)cc(=O)[nH]c1C2=O,4.4089353929735
